Date,Open,High,Low,Close,Volume,Adj Close
2013-09-05,165.850006,166.399994,165.729996,165.960007,63090500,156.235026
2013-09-04,164.429993,166.029999,164.130005,165.75,97389400,156.037325
2013-09-03,165.229996,165.580002,163.699997,164.389999,142375100,154.757018
2013-08-30,164.509995,164.529999,163.169998,163.649994,134928900,154.060376
2013-08-29,163.550003,165.039993,163.399994,164.169998,119200500,154.549909
2013-08-28,163.259995,164.490005,163.050003,163.910004,108113000,154.30515
2013-08-27,164.360001,166.00,163.210007,163.330002,158619400,153.759135
2013-08-26,166.789993,167.300003,165.889999,166.00,89702100,156.272676
2013-08-23,166.550003,166.830002,165.770004,166.619995,90888900,156.85634
2013-08-22,164.899994,166.300003,164.889999,166.059998,101471400,156.329157
2013-08-21,165.119995,166.029999,164.190002,164.559998,159530500,154.917055
2013-08-20,165.039993,166.199997,164.860001,165.580002,89294400,155.877289
2013-08-19,165.639999,166.210007,164.759995,164.770004,96437600,155.114756
2013-08-16,166.059998,166.630005,165.50,165.830002,130868200,156.112639
2013-08-15,167.410004,167.429993,166.089996,166.380005,152931800,156.630413
2013-08-14,169.529999,169.800003,168.699997,168.740005,79829200,158.852121
2013-08-13,169.410004,169.899994,168.410004,169.610001,80806000,159.671136
2013-08-12,168.460007,169.309998,168.380005,169.110001,68593300,159.200435
2013-08-09,169.580002,170.100006,168.720001,169.309998,91757700,159.388713
2013-08-08,169.979996,170.179993,168.929993,169.800003,102181300,159.850005
2013-08-07,169.190002,169.429993,168.550003,169.179993,84854700,159.266326
2013-08-06,170.369995,170.740005,169.350006,169.729996,87495000,159.7841
2013-08-05,170.570007,170.960007,170.350006,170.699997,54072700,160.697261
2013-08-02,170.279999,170.970001,170.050003,170.949997,91116700,160.932611
2013-08-01,169.990005,170.809998,169.899994,170.660004,110438400,160.659611
2013-07-31,168.940002,169.850006,168.490005,168.710007,142388700,158.82388
2013-07-30,169.100006,169.279999,168.190002,168.589996,85209600,158.710902
2013-07-29,168.679993,169.059998,168.110001,168.589996,79695000,158.710902
2013-07-26,168.220001,169.160004,167.520004,169.110001,107814600,159.200435
2013-07-25,168.220001,169.080002,167.940002,168.929993,111088600,159.030976
2013-07-24,169.789993,169.860001,168.179993,168.520004,112914000,158.645012
2013-07-23,169.800003,169.830002,169.050003,169.139999,80829700,159.228676
2013-07-22,169.410004,169.740005,169.009995,169.50,79428600,159.567581
2013-07-19,168.520004,169.229996,168.309998,169.169998,103831700,159.256917
2013-07-18,168.309998,169.270004,168.199997,168.869995,103620100,158.974494
2013-07-17,168.160004,168.479996,167.729996,167.949997,92873900,158.108406
2013-07-16,168.259995,168.360001,167.070007,167.520004,88702100,157.70361
